date,usd,eur
2025-05-01,89.5,97.2
2025-05-02,90.1,98.0
2025-05-03,88.7,96.5
2025-05-04,91.2,99.1
2025-05-05,90.8,98.7
2025-05-06,89.9,97.8
2025-05-07,92.3,100.2
2025-05-08,91.5,99.5
2025-05-09,93.0,101.0
2025-05-10,92.4,100.4
2025-05-11,91.1,99.2
2025-05-12,90.5,98.5
2025-05-13,92.7,100.9
2025-05-14,93.2,101.5
2025-05-15,92.9,101.2
2025-05-16,94.0,102.0
2025-05-17,93.5,101.7
2025-05-18,94.3,102.3
2025-05-19,93.8,101.8
2025-05-20,95.1,103.0
2025-05-21,94.6,102.5
2025-05-22,95.8,103.8
2025-05-23,95.2,103.2
2025-05-24,96.0,104.0
2025-05-25,96.5,104.5
2025-05-26,95.9,103.9
2025-05-27,97.0,105.0
2025-05-28,96.4,104.4
2025-05-29,97.5,105.5
2025-05-30,97.0,105.0
